community_id,n_nodes_fixed,n_vertices_fixed,n_edges_fixed,max_edges_fixed,density_fixed,n_nodes_orig,n_vertices_orig,n_edges_orig,max_edges_orig,density_orig,density_diff,n_nodes_match
591,2,2,1,1,1,2,2,0,1,0,1,TRUE
592,2,2,1,1,1,2,2,0,1,0,1,TRUE
593,2,2,1,1,1,2,2,0,1,0,1,TRUE
594,2,2,1,1,1,2,2,0,1,0,1,TRUE
595,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
596,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
597,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
598,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
599,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
600,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
601,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
602,2,2,1,1,1,2,2,0,1,0,1,TRUE
603,2,2,1,1,1,2,2,0,1,0,1,TRUE
604,2,2,1,1,1,2,2,0,1,0,1,TRUE
605,2,2,1,1,1,2,2,0,1,0,1,TRUE
606,2,2,1,1,1,2,2,0,1,0,1,TRUE
607,2,2,1,1,1,2,2,0,1,0,1,TRUE
608,2,2,1,1,1,2,2,0,1,0,1,TRUE
609,2,2,1,1,1,2,2,0,1,0,1,TRUE
610,2,2,1,1,1,2,2,0,1,0,1,TRUE
611,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
612,2,2,1,1,1,2,2,0,1,0,1,TRUE
613,2,2,1,1,1,2,2,0,1,0,1,TRUE
614,2,2,1,1,1,2,2,0,1,0,1,TRUE
615,2,2,1,1,1,2,2,0,1,0,1,TRUE
616,2,2,1,1,1,2,2,0,1,0,1,TRUE
617,2,2,1,1,1,2,2,0,1,0,1,TRUE
618,2,2,1,1,1,2,2,0,1,0,1,TRUE
619,2,2,1,1,1,2,2,0,1,0,1,TRUE
620,2,2,1,1,1,2,2,0,1,0,1,TRUE
621,2,2,1,1,1,2,2,0,1,0,1,TRUE
622,2,2,1,1,1,2,2,0,1,0,1,TRUE
623,2,2,1,1,1,2,2,0,1,0,1,TRUE
624,2,2,1,1,1,2,2,0,1,0,1,TRUE
625,2,2,1,1,1,2,2,0,1,0,1,TRUE
626,2,2,1,1,1,2,2,0,1,0,1,TRUE
627,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
628,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
629,7,7,6,21,0.285714285714286,7,7,0,21,0,0.285714285714286,TRUE
630,5,5,4,10,0.4,5,5,0,10,0,0.4,TRUE
631,6,6,5,15,0.333333333333333,6,6,0,15,0,0.333333333333333,TRUE
632,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
633,2,2,1,1,1,2,2,0,1,0,1,TRUE
634,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
635,2,2,1,1,1,2,2,0,1,0,1,TRUE
636,2,2,1,1,1,2,2,0,1,0,1,TRUE
637,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
638,2,2,1,1,1,2,2,0,1,0,1,TRUE
639,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
640,2,2,1,1,1,2,2,0,1,0,1,TRUE
641,2,2,1,1,1,2,2,0,1,0,1,TRUE
642,2,2,1,1,1,2,2,0,1,0,1,TRUE
643,2,2,1,1,1,2,2,0,1,0,1,TRUE
644,2,2,1,1,1,2,2,0,1,0,1,TRUE
645,3,3,2,3,0.666666666666667,2,2,0,1,0,0.666666666666667,FALSE
646,2,2,1,1,1,3,3,0,3,0,1,FALSE
647,2,2,1,1,1,2,2,0,1,0,1,TRUE
648,2,2,1,1,1,2,2,0,1,0,1,TRUE
649,2,2,1,1,1,2,2,0,1,0,1,TRUE
650,3,3,2,3,0.666666666666667,2,2,0,1,0,0.666666666666667,FALSE
651,2,2,1,1,1,3,3,0,3,0,1,FALSE
652,2,2,1,1,1,2,2,0,1,0,1,TRUE
653,2,2,1,1,1,2,2,0,1,0,1,TRUE
654,2,2,1,1,1,2,2,0,1,0,1,TRUE
655,2,2,1,1,1,2,2,0,1,0,1,TRUE
656,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
657,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
658,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
659,2,2,1,1,1,2,2,0,1,0,1,TRUE
660,2,2,1,1,1,2,2,0,1,0,1,TRUE
661,2,2,1,1,1,2,2,0,1,0,1,TRUE
662,2,2,1,1,1,2,2,0,1,0,1,TRUE
663,2,2,1,1,1,2,2,0,1,0,1,TRUE
664,2,2,1,1,1,2,2,0,1,0,1,TRUE
665,2,2,1,1,1,2,2,0,1,0,1,TRUE
666,2,2,1,1,1,2,2,0,1,0,1,TRUE
667,2,2,1,1,1,2,2,0,1,0,1,TRUE
668,2,2,1,1,1,2,2,0,1,0,1,TRUE
669,2,2,1,1,1,2,2,0,1,0,1,TRUE
670,2,2,1,1,1,2,2,0,1,0,1,TRUE
671,2,2,1,1,1,2,2,0,1,0,1,TRUE
672,2,2,1,1,1,2,2,0,1,0,1,TRUE
673,2,2,1,1,1,2,2,0,1,0,1,TRUE
674,2,2,1,1,1,2,2,0,1,0,1,TRUE
675,2,2,1,1,1,2,2,0,1,0,1,TRUE
676,2,2,1,1,1,2,2,0,1,0,1,TRUE
677,2,2,1,1,1,2,2,0,1,0,1,TRUE
678,2,2,1,1,1,2,2,0,1,0,1,TRUE
679,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
680,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
681,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
682,2,2,1,1,1,2,2,0,1,0,1,TRUE
683,2,2,1,1,1,2,2,0,1,0,1,TRUE
684,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
685,2,2,1,1,1,2,2,0,1,0,1,TRUE
686,2,2,1,1,1,2,2,0,1,0,1,TRUE
687,2,2,1,1,1,2,2,0,1,0,1,TRUE
688,2,2,1,1,1,2,2,0,1,0,1,TRUE
689,2,2,1,1,1,2,2,0,1,0,1,TRUE
690,2,2,1,1,1,2,2,0,1,0,1,TRUE
691,2,2,1,1,1,2,2,0,1,0,1,TRUE
692,2,2,1,1,1,2,2,0,1,0,1,TRUE
693,2,2,1,1,1,2,2,0,1,0,1,TRUE
694,2,2,1,1,1,2,2,0,1,0,1,TRUE
695,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
696,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
697,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
698,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
699,2,2,1,1,1,2,2,0,1,0,1,TRUE
700,2,2,1,1,1,2,2,0,1,0,1,TRUE
701,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
702,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
703,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
704,2,2,1,1,1,2,2,0,1,0,1,TRUE
705,2,2,1,1,1,2,2,0,1,0,1,TRUE
706,2,2,1,1,1,2,2,0,1,0,1,TRUE
707,2,2,1,1,1,2,2,0,1,0,1,TRUE
708,2,2,1,1,1,2,2,0,1,0,1,TRUE
709,2,2,1,1,1,2,2,0,1,0,1,TRUE
710,2,2,1,1,1,2,2,0,1,0,1,TRUE
711,2,2,1,1,1,2,2,0,1,0,1,TRUE
712,2,2,1,1,1,2,2,0,1,0,1,TRUE
713,2,2,1,1,1,2,2,0,1,0,1,TRUE
714,2,2,1,1,1,2,2,0,1,0,1,TRUE
