community_id,n_nodes_fixed,n_vertices_fixed,n_edges_fixed,is_connected_fixed,diameter_fixed,n_nodes_orig,n_vertices_orig,n_edges_orig,is_connected_orig,diameter_orig,diameter_diff
591,2,2,1,TRUE,1,2,2,0,FALSE,,
592,2,2,1,TRUE,1,2,2,0,FALSE,,
593,2,2,1,TRUE,1,2,2,0,FALSE,,
594,2,2,1,TRUE,1,2,2,0,FALSE,,
595,3,3,2,TRUE,2,3,3,0,FALSE,,
596,4,4,3,TRUE,3,4,4,0,FALSE,,
597,3,3,2,TRUE,2,3,3,0,FALSE,,
598,3,3,2,TRUE,2,3,3,0,FALSE,,
599,3,3,2,TRUE,2,3,3,0,FALSE,,
600,3,3,2,TRUE,2,3,3,0,FALSE,,
601,3,3,2,TRUE,2,3,3,0,FALSE,,
602,2,2,1,TRUE,1,2,2,0,FALSE,,
603,2,2,1,TRUE,1,2,2,0,FALSE,,
604,2,2,1,TRUE,1,2,2,0,FALSE,,
605,2,2,1,TRUE,1,2,2,0,FALSE,,
606,2,2,1,TRUE,1,2,2,0,FALSE,,
607,2,2,1,TRUE,1,2,2,0,FALSE,,
608,2,2,1,TRUE,1,2,2,0,FALSE,,
609,2,2,1,TRUE,1,2,2,0,FALSE,,
610,2,2,1,TRUE,1,2,2,0,FALSE,,
611,3,3,2,TRUE,2,3,3,0,FALSE,,
612,2,2,1,TRUE,1,2,2,0,FALSE,,
613,2,2,1,TRUE,1,2,2,0,FALSE,,
614,2,2,1,TRUE,1,2,2,0,FALSE,,
615,2,2,1,TRUE,1,2,2,0,FALSE,,
616,2,2,1,TRUE,1,2,2,0,FALSE,,
617,2,2,1,TRUE,1,2,2,0,FALSE,,
618,2,2,1,TRUE,1,2,2,0,FALSE,,
619,2,2,1,TRUE,1,2,2,0,FALSE,,
620,2,2,1,TRUE,1,2,2,0,FALSE,,
621,2,2,1,TRUE,1,2,2,0,FALSE,,
622,2,2,1,TRUE,1,2,2,0,FALSE,,
623,2,2,1,TRUE,1,2,2,0,FALSE,,
624,2,2,1,TRUE,1,2,2,0,FALSE,,
625,2,2,1,TRUE,1,2,2,0,FALSE,,
626,2,2,1,TRUE,1,2,2,0,FALSE,,
627,4,4,3,TRUE,3,4,4,0,FALSE,,
628,3,3,2,TRUE,2,3,3,0,FALSE,,
629,7,7,6,TRUE,4,7,7,0,FALSE,,
630,5,5,4,TRUE,4,5,5,0,FALSE,,
631,6,6,5,TRUE,4,6,6,0,FALSE,,
632,4,4,3,TRUE,3,4,4,0,FALSE,,
633,2,2,1,TRUE,1,2,2,0,FALSE,,
634,3,3,2,TRUE,2,3,3,0,FALSE,,
635,2,2,1,TRUE,1,2,2,0,FALSE,,
636,2,2,1,TRUE,1,2,2,0,FALSE,,
637,4,4,3,TRUE,3,4,4,0,FALSE,,
638,2,2,1,TRUE,1,2,2,0,FALSE,,
639,3,3,2,TRUE,2,3,3,0,FALSE,,
640,2,2,1,TRUE,1,2,2,0,FALSE,,
641,2,2,1,TRUE,1,2,2,0,FALSE,,
642,2,2,1,TRUE,1,2,2,0,FALSE,,
643,2,2,1,TRUE,1,2,2,0,FALSE,,
644,2,2,1,TRUE,1,2,2,0,FALSE,,
645,3,3,2,TRUE,2,2,2,0,FALSE,,
646,2,2,1,TRUE,1,3,3,0,FALSE,,
647,2,2,1,TRUE,1,2,2,0,FALSE,,
648,2,2,1,TRUE,1,2,2,0,FALSE,,
649,2,2,1,TRUE,1,2,2,0,FALSE,,
650,3,3,2,TRUE,2,2,2,0,FALSE,,
651,2,2,1,TRUE,1,3,3,0,FALSE,,
652,2,2,1,TRUE,1,2,2,0,FALSE,,
653,2,2,1,TRUE,1,2,2,0,FALSE,,
654,2,2,1,TRUE,1,2,2,0,FALSE,,
655,2,2,1,TRUE,1,2,2,0,FALSE,,
656,4,4,3,TRUE,3,4,4,0,FALSE,,
657,3,3,2,TRUE,2,3,3,0,FALSE,,
658,3,3,2,TRUE,2,3,3,0,FALSE,,
659,2,2,1,TRUE,1,2,2,0,FALSE,,
660,2,2,1,TRUE,1,2,2,0,FALSE,,
661,2,2,1,TRUE,1,2,2,0,FALSE,,
662,2,2,1,TRUE,1,2,2,0,FALSE,,
663,2,2,1,TRUE,1,2,2,0,FALSE,,
664,2,2,1,TRUE,1,2,2,0,FALSE,,
665,2,2,1,TRUE,1,2,2,0,FALSE,,
666,2,2,1,TRUE,1,2,2,0,FALSE,,
667,2,2,1,TRUE,1,2,2,0,FALSE,,
668,2,2,1,TRUE,1,2,2,0,FALSE,,
669,2,2,1,TRUE,1,2,2,0,FALSE,,
670,2,2,1,TRUE,1,2,2,0,FALSE,,
671,2,2,1,TRUE,1,2,2,0,FALSE,,
