community_id,n_nodes_fixed,n_vertices_fixed,n_edges_fixed,mean_degree_fixed,median_degree_fixed,max_degree_fixed,min_degree_fixed,n_nodes_orig,n_vertices_orig,n_edges_orig,mean_degree_orig,median_degree_orig,max_degree_orig,min_degree_orig,degree_diff
591,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
592,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
593,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
594,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
595,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
596,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
597,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
598,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
599,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
600,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
601,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
602,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
603,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
604,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
605,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
606,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
607,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
608,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
609,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
610,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
611,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
612,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
613,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
614,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
615,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
616,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
617,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
618,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
619,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
620,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
621,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
622,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
623,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
624,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
625,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
626,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
627,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
628,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
629,7,7,6,1.71428571428571,2,3,1,7,7,0,0,0,0,0,1.71428571428571
630,5,5,4,1.6,2,2,1,5,5,0,0,0,0,0,1.6
631,6,6,5,1.66666666666667,1.5,3,1,6,6,0,0,0,0,0,1.66666666666667
632,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
633,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
634,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
635,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
636,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
637,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
638,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
639,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
640,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
641,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
642,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
643,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
644,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
645,3,3,2,1.33333333333333,1,2,1,2,2,0,0,0,0,0,1.33333333333333
646,2,2,1,1,1,1,1,3,3,0,0,0,0,0,1
647,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
648,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
649,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
650,3,3,2,1.33333333333333,1,2,1,2,2,0,0,0,0,0,1.33333333333333
651,2,2,1,1,1,1,1,3,3,0,0,0,0,0,1
652,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
653,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
654,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
655,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
656,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
657,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
658,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
659,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
660,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
661,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
662,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
663,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
664,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
665,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
666,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
667,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
668,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
669,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
670,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
671,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
672,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
673,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
674,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
675,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
676,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
677,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
678,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
679,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
680,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
681,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
682,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
683,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
684,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
685,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
686,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
687,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
688,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
689,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
690,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
691,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
692,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
693,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
694,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
695,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
696,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
697,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
698,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
699,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
700,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
701,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
702,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
703,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
704,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
705,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
706,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
707,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
708,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
709,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
710,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
711,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
712,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
713,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
714,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
715,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
716,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
717,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
718,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
719,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
720,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
721,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
722,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
723,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
724,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
725,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
726,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
727,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
728,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
729,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
730,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
731,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
732,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
733,5,5,4,1.6,2,2,1,5,5,0,0,0,0,0,1.6
734,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
735,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
736,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
737,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
738,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
739,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
740,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
741,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
742,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
743,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
744,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
745,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
746,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
747,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
748,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
749,3,3,2,1.33333333333333,1,2,1,2,2,0,0,0,0,0,1.33333333333333
750,2,2,1,1,1,1,1,3,3,0,0,0,0,0,1
751,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
752,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
753,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
754,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
755,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
756,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
757,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
758,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
759,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
760,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
761,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
762,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
763,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
764,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
765,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
766,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
767,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
768,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
769,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
770,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
771,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
772,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
773,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
774,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
775,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
776,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
777,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
778,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
779,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
